product_name,price
Truffle Cups - White Paper,32.02
"Octopus - Baby, Cleaned",12.2
Alize Gold Passion,39.89
Longos - Cheese Tortellini,23.96
Cookie Choc,15.36
Cheese - Cheddar With Claret 2,24.18
Filling - Mince Meat,13.71
Tea - Honey Green Tea,22.92
Asparagus - Frozen,45.46
Beef Flat Iron Steak,20.83
Vaccum Bag 10x13,41.58
Flour - Teff,23.03
Yams,48.71
Beer - Mill St Organic,43.87
Coffee Cup 8oz,20.4
Lettuce - Radicchio,36.05
Huck White Towels,47.09
"Wine - Sherry Dry Sack, William",36.61
Pepsi - 600ml,40.58
Bread - Italian Roll With Herbs,25.84
Chutney Sauce - Mango,38.88
"Stock - Veal, Brown",33.94
Sauce - Roasted Red Pepper,40.33
"Soda Water - Club Soda, 355 Ml",18.39
Paste - Black Olive,12.03
Nantucket - 518ml,46.09
Curry Powder Madras 2,13.23
Salt And Pepper Mix - Black 2,40.18
Wine - Sicilia Igt Nero Avola,24.37
The Pop Shoppe - Root Beer,34.92
Jerusalem Artichoke,20.74
"Salmon - Smoked, Sliced",43.22
Sauce - Thousand Island,17.42
Mcgillicuddy Vanilla Schnap,10.71
Lamb - Bones,35.56
Beets,27.11
Initation Crab Meat,36.92
Eggplant - Baby,18.3
Vinegar - Cider,33.59
Bread - Sour Batard,25.92
Whmis - Spray Bottle Trigger 2,39.38
Mountain Dew 2,22.7
Bread - English Muffin,38.04
Garlic - Peeled,39.27
Bar - Granola Trail Mix Fruit Nut,25.05
Flour - Rye,10.06
Grand Marnier,19.66
Sprouts - Pea 2,32.3
Melon - Cantaloupe 2,11.16
Dill Weed - Dry,39.54
"Lid - High Heat, Super Clear",12.6
Scampi Tail,26.5
Sauerkraut,19.15
"Mushroom - Enoki, Dry",29.45
Muffin Mix - Blueberry 2,44.02
Arrowroot,49.03
Kellogs Cereal In A Cup,43.36
Pepper - Green 2,28.25
Longos - Chicken Cordon Bleu,30.91
Chips Potato Swt Chilli Sour,37.54
Duck - Fat,28.57
"Beans - Black Bean, Dry",34.45
Lamb Tenderloin Nz Fr,37.06
Wine - Acient Coast Caberne,19.43
Dip - Tapenade,12.47
Squid Ink,18.97
Monkfish Fresh - Skin Off,27.98
Wooden Mop Handle,33.6
Wine - Kwv Chenin Blanc South,49.26
Nut - Pumpkin Seeds,43.62
"Chocolate - Milk, Callets",30.6
Coffee Beans - Chocolate 2,26.58
Chicken - Soup Base,18.02
Container - Clear 16 Oz,49.9
Dill Weed - Fresh,12.27
Juice - Apple Cider,14.37
Tobasco Sauce,41.38
Muffin Batt - Carrot Spice,19.39
Juice - Lagoon Mango,26.13
Lettuce - Romaine,31.16
Beef - Tender Tips 3,45.71
"Cheese - Mozzarella, Shredded",30.7
Coffee Beans - Chocolate,25.9
Curry Powder Madras 3,10.72
Brandy Apricot,40.52
"Pork - Sausage, Medium",45.91
Chocolate - Compound Coating 2,14.3
"Peas - Pigeon, Dry",16.33
Truffle - Whole Black Peeled,16.28
Bok Choy - Baby,26.94
Bowl 12 Oz - Showcase 92012,45.23
Transfer Sheets 2,31.28
Puff Pastry - Slab,30.74
Latex Rubber Gloves Size 9,32.09
Whmis - Spray Bottle Trigger,33.53
Wine - Zinfandel California 2002,36.5
French Kiss Vanilla,39.16
Pepper - Yellow Bell,12.4
Figs,48.22
Wine - Chateau Aqueria Tavel 2,35.11
Wine - Vineland Estate Semi - Dry,34.64
"Beef - Tongue, Fresh",39.78
Wine - Soave Folonari,33.55
Beer - Mcauslan Apricot 2,15.55
Pork - Ground 2,28.91
"Veal - Inside, Choice",27.6
"Juice - Tomato, 48 Oz",39.93
Sauce - Mint,24.41
Piping Jelly - All Colours,43.97
Milk - Chocolate 250 Ml,35.27
Towel Multifold,48.66
Cheese - Pont Couvert,48.63
Water - Tonic,36.37
Grapes - Red,20.89
Sauce - Vodka Blush,19.77
"Tortillas - Flour, 10 2",25.62
"Jam - Marmalade, Orange",36.52
"Pasta - Lasagne, Fresh 2",20.81
Wine - Coteaux Du Tricastin Ac,22.06
Squeeze Bottle,11.73
Ham - Cooked Bayonne Tinned,49.89
Flour - Semolina,46.53
French Pastry - Mini Chocolate,20.63
Appetizer - Crab And Brie,24.52
Browning Caramel Glace,41.43
Fennel - Seeds,20.46
Sobe - Tropical Energy 2,23.5
Maple Syrup,29.29
Mushrooms - Honey,32.53
Wine - Sawmill Creek Autumn 2,18.62
Boogies,21.81
Cheese - Montery Jack,34.42
Artichokes - Jerusalem,49.54
Pastry - Cheese Baked Scones,13.09
Blackberries,10.39
Extract Vanilla Pure 2,28.08
Pastry - Key Limepoppy Seed Tea 2,19.55
Fondant - Icing,17.93
Mountain Dew,18.25
"Tart Shells - Sweet, 2",16.59
"Wine - Red, Mouton Cadet",47.95
"Carrots - Purple, Organic",35.93
Cookie Dough - Peanut Butter,37.08
Pepper - Green 3,45.74
"Juice - Apple, 341 Ml",33.8
"Turkey - Breast, Boneless Sk On",39.47
Yeast Dry - Fleischman,32.17
Soup - Tomato Mush. Florentine,11.25
Salmon Steak - Cohoe 6 Oz,26.6
Blueberries,25.53
Ice Cream - Super Sandwich,19.19
"Oregano - Dry, Rubbed",21.36
Coffee - Decaffeinato Coffee,41.5
"Thyme - Lemon, Fresh 2",21.7
Oil - Safflower,42.66
Dasheen 2,29.07
Muffin Mix - Blueberry,16.7
Pastry - Cherry Danish - Mini,14.16
Pear - Halves,43.6
Pomegranates,24.79
"Veal - Leg, Provimi - 50 Lb Max",40.95
Flower - Leather Leaf Fern,44.47
Sauce - Marinara 2,22.26
Phyllo Dough,12.66
Wine - Pinot Noir Latour,46.93
Russian Prince,22.42
Table Cloth 72x144 White,27.19
Beer - Steamwhistle,46.63
Muffin Mix - Oatmeal,18.44
Carbonated Water - Cherry,24.8
Beef - Tenderloin - Aa 2,42.3
"Oil - Shortening,liqud, Fry",38.5
Scrubbie - Scotchbrite Hand Pad,15.02
Beans - Wax,43.08
Oil - Pumpkinseed,15.33
Tea - Green,34.99
Icecream - Dibs 2,18.27
Coffee - Cafe Moreno 2,13.46
Lotus Leaves,21.27
Cherries - Frozen,22.65
Bar Bran Honey Nut,20.38
"Mushrooms - Black, Dried",33.74
"Beef - Kindney, Whole",37.83
Wine - Sawmill Creek Autumn 3,48.93
Curry Paste - Green Masala 2,27.08
Lemonade - Pineapple Passion,21.12
Bay Leaf Ground,38.74
"Lemonade - Black Cherry, 591 Ml",18.51
Parsley - Dried,14.63
Pepper - Green,41.67
Wine - Prosecco Valdobienne,49.94
Uniform Linen Charge,33.03
Capon - Whole,29.98
Wine - Taylors Reserve,21.93
Jicama,10.54
Tequila Rose Cream Liquor 2,20.66
Milk - Condensed,37.26
Maintenance Removal Charge,26.13
Hagen Daza - Dk Choocolate,35.63
Veal - Eye Of Round,13.28
Wine - Sawmill Creek Autumn,46.66
Cafe Royale,25
Pear - Asian,47.7
Yukon Jack,49.69
Cake - Box Window 10x10x2.5,31.67
Tea - Grapefruit Green Tea,15.14
Vol Au Vents,10.86
"Lemonade - Natural, 591 Ml",34.67
"Brownies - Two Bite, Chocolate",44.45
Scallops - Live In Shell,17.28
Venison - Liver,34.6
Water - Aquafina Vitamin,41.03
Beer - Corona,45.25
Horseradish - Prepared,42.9
"Crush - Grape, 355 Ml",23.95
Buttons 2,11.67
Wine - Remy Pannier Rose,23.92
Bagels Poppyseed,36.88
Extract - Almond,30.76
Appetizer - Mushroom Tart,37.81
Lettuce - Lambs Mash,13.51
Beer - Paulaner Hefeweisse,45.57
Pie Filling - Pumpkin,30.44
"Bar Mix - Pina Colada, 355 Ml",25.77
Water - Evian 355 Ml,38.16
Cheese - Cambozola,44.37
"Soup - Campbells, Beef Barley",27.29
Coffee Cup 8oz 5338cd,27.86
Onions - Pearl,37.29
Bread - Pumpernickel,46.67
Shrimp - Black Tiger 6 - 8,31.91
"Capon - Breast, Wing On",19.88
Squid - Breaded,11.04
Juice - Ocean Spray Cranberry,42.14
Rabbit - Legs 2,10.68
Cheese - Le Cheve Noir,18.31
Gelatine Leaves - Envelopes,44.41
Longos - Chicken Curried,16.7
Pastry - Apple Large,13.6
"Beef - Bones, Cut - Up",11.53
Soup - Campbells Tomato Ravioli,33.17
Tea - Herbal I Love Lemon,12.13
"Rum - Coconut, Malibu",11.79
Longos - Lasagna Beef,23.87
"Sauce - Bernaise, Mix",22.28
Celery Root,35.55
Lobster - Canned Premium,18.16
"Wine - White, Schroder And Schyl 2",19.5
Bay Leaf,32.51
Kaffir Lime Leaves 2,23.37
Vinegar - White,41.97
Cloves - Whole 2,39.3
Eggplant Oriental,10.04
Glucose 2,13.81
Wine - Valpolicella Masi,41.49
Kaffir Lime Leaves,48.25
Creamers - 10%,36.3
Dasheen,46.51
Yucca,43.85
Curry Paste - Green Masala,48.38
"Trout - Rainbow, Frozen",40.28
Sponge Cake Mix - Vanilla,20.48
Mix - Cocktail Strawberry Daiquiri,36.12
Sole - Fillet,29.12
Curry Powder Madras,29.59
Wine - Delicato Merlot,35.68
Shiro Miso,13.67
Veal - Nuckle,19.57
Bread - Raisin Walnut Pull,16.42
"Stock - Chicken, White",12.27
Dc - Frozen Momji,12.82
"Beets - Candy Cane, Organic",36.23
Beef - Texas Style Burger,10.39
Creme De Cacao White,16.89
Beer - Moosehead,40.55
"Tart Shells - Savory, 2",49.58
Soup - Campbells Pasta Fagioli,17
Sauce - Demi Glace,10.12
"Tortillas - Flour, 10",38.06
Sweet Pea Sprouts 2,12.49
Venison - Racks Frenched,20.78
Beef - Tender Tips 2,20.77
Pork - Hock And Feet Attached,41.56
Salt And Pepper Mix - Black,20.07
"Chocolate - Semi Sweet, Calets",33.24
Tart - Butter Plain Squares,37.25
Iced Tea Concentrate,31.55
Lidsoupcont Rp12dn 2,45.61
Sugar - Palm,15.95
Mix - Cocktail Ice Cream,22.87
Icecream - Dibs,28.47
Melon - Cantaloupe,13.62
Plastic Arrow Stir Stick,22.61
English Muffin,13.69
Carbonated Water - Wildberry,40.71
Glucose,37.08
Chocolate - Compound Coating,23.77
Cheese - Goat,10.84
Wonton Wrappers,39.54
Miso Paste White,30.06
Curry Paste - Madras,35.87
"Rum - Dark, Bacardi, Black",19.59
Coffee - Irish Cream,36.87
Truffle Cups - Red,23.13
Cloves - Whole,32.22
Pork - Backfat,32.78
Wine - Prem Select Charddonany,17.76
"Beef - Ox Tongue, Pickled",41.48
Wine - Champagne Brut Veuve,23.97
Tea - English Breakfast,42.17
Pork - Bones,11.43
Rice - Jasmine Sented,18.03
Oil - Margarine,32.2
Pears - Anjou,44.88
Pineapple - Regular,17.36
Sauce - Marinara,40.17
"Bread - Crumbs, Bulk",36.8
Paper Towel Touchless,24.04
V8 Splash Strawberry Banana,32.31
"Napkin - Dinner, White",17.09
Wine - Magnotta - Cab Franc,18.31
Tahini Paste,29.33
"Liners - Banana, Paper",24.28
Cream Of Tartar,17.57
"Soup - Knorr, Chicken Noodle",25.22
Wine - Gewurztraminer Pierre,34.1
Eggplant Italian,37.57
Lid Coffeecup 12oz D9542b,24.28
"Gin - Gilbeys London, Dry",29.21
Oven Mitt - 13 Inch,28.77
Tilapia - Fillets 2,25.13
Cranberries - Fresh,44.64
Long Island Ice Tea,32.22
"Soup - French Onion, Dry",12.52
Onions - White,20.7
"Salmon - Atlantic, Skin On",47.54
"Veal - Round, Eye Of",44.34
Island Oasis - Wildberry 2,25.21
Cheese - Pied De Vents,36.44
Pepper - Red Thai,40.67
Honey - Comb,16.15
Tarts Assorted,44.94
Tomatoes - Hot House,22.92
Vinegar - Red Wine,35.46
Beef - Tenderloin - Aa,35.91
Pork - Kidney,15.39
Wine - Savigny - Les - Beaune,33.51
"Juice - Clam, 46 Oz",36.91
"Onions - Dried, Chopped",19.85
Green Scrubbie Pad H.duty,35.81
"Wine - Red, Wolf Blass, Yellow",10.03
"Soup - Campbells, Lentil",40.97
Wine - Tribal Sauvignon,25.81
Pate Pans Yellow,49.77
"Onions - Dried, Chopped 2",25.14
Chick Peas - Canned,38.31
Beer - Muskoka Cream Ale,30.36
Petit Baguette,30.53
"Salsify, Organic",18.2
Napkin Colour,14.14
Cup - Translucent 7 Oz Clear,33.47
Cheese - Comtomme,25.33
Truffle Shells - White Chocolate,47.71
"Seedlings - Buckwheat, Organic",21.55
Emulsifier,22.64
Bread Cranberry Foccacia,16.78
Halibut - Steaks,25.57
Pork - Liver,31.16
Tea - Camomele,13.63
Mustard Prepared,13
"Mushroom - Shitake, Fresh",42.44
"Schnappes - Peach, Walkers",45.53
Beans - Fava Fresh,11.64
Wine - Cousino Macul Antiguas,16.9
Table Cloth 54x54 Colour,38.76
Sobe - Tropical Energy,11.56
Oil - Olive Bertolli,46.46
Transfer Sheets,16.65
Miso - Soy Bean Paste,18.42
Milk - 2% 250 Ml,18.03
Wine - Carmenere Casillero Del,16.83
"Capon - Breast, Double, Wing On",24.38
"Appetizer - Mini Egg Roll, Shrimp",49.29
Artichoke - Fresh,27.84
"Rice Pilaf, Dry,package",31.25
"Appetizer - Mini Egg Roll, Shrimp 2",26.81
"Mushroom - Chanterelle, Dry",49.1
Cake - Mini Potato Pancake,12.18
Plasticforkblack,38.18
Bagel - Plain,17.28
Beef - Tender Tips,23.98
Lamb - Ground,25.17
Snapple Lemon Tea,10.45
Cheese - Cheddar With Claret,32.94
Lobster - Cooked,17.83
"Wine - Red, Cabernet Merlot",38.62
Sauce - Fish 25 Ozf Bottle,46.51
Flour - Fast / Rapid,43.31
Kolrabi,31.12
Eggs - Extra Large,32.6
Beef Dry Aged Tenderloin Aaa,15.68
Pie Box - Cello Window 2.5,24.52
Pimento - Canned,21.02
Wine - Alicanca Vinho Verde,29.33
Soup - Campbells Beef Stew,43.14
Milk - 1%,11.43
Lobster - Cooked 2,12.6
"Soup - Cream Of Broccoli, Dry",11.04
Sweet Pea Sprouts,16.07
Chicken Breast Halal,38.24
Tarts Assorted 2,48.14
Beef - Salted,11.13
Wine - Barossa Valley Estate,36.72
Pomello,38.83
Port - 74 Brights,28.1
Turnip - Wax,36.61
Flower - Carnations,25.82
Sprouts - Pea,31.58
Ecolab Digiclean Mild Fm,34.78
Ginsing - Fresh,33.61
Beef - Striploin,27.98
Soup - Campbells,38.55
Momiji Oroshi Chili Sauce,46.83
Cream - 10%,24.59
"Juice - Orange, 341 Ml",12.65
Island Oasis - Wildberry,30.38
Soup - Cream Of Broccoli,35.7
"Thyme - Lemon, Fresh",41.2
Extract Vanilla Pure,28.59
Appetizer - Smoked Salmon / Dill,34.29
Soy Protein,33.81
Veal - Heart,15.04
Schnappes Peppermint - Walker,37.25
Sausage - Meat,20.87
Rabbit - Legs,30.31
Sterno - Chafing Dish Fuel,46.11
"Pork - Chop, Frenched",35.43
Tea - Earl Grey,36.78
Chinese Foods - Thick Noodles,14.84
Turnip - Mini,42.24
Yoplait Drink,22.2
Crackers - Trio,36.05
"Wine - White, Schroder And Schyl",39.97
Sausage - Liver,29.21
Salt - Table,38.95
Petite Baguette,21.13
Lidsoupcont Rp12dn,27.29
Wine - Cousino Macul Antiguas 2,18.22
Sugar Thermometer,28.85
Wine - Zonnebloem Pinotage,19.6
Nantucket - Carrot Orange,37.17
Grapefruit - White,15.24
Nori Sea Weed - Gold Label,46.82
Longos - Grilled Veg Sandwiches,38.15
Coffee - Cafe Moreno,18.63
Yeast Dry - Fermipan,41.36
Lettuce - California Mix,16.69
Mustard Prepared 2,30.31
"Pasta - Lasagne, Fresh",32.15
Wine - Montecillo Rioja Crianza,10.9
Chips - Assorted,11.8
Baking Soda,12.8
Mix - Cappucino Cocktail,41.32
Wine - Conde De Valdemar,39.04
Goat - Whole Cut,39.23
"Wine - Red, Concha Y Toro",44.14
Bag Clear 10 Lb,14.68
"Wine - Red, Wolf Blass, Yellow 2",31.29
Wine - Zonnebloem Pinotage 2,26.7
Tequila Rose Cream Liquor,44.6
Pastry - Key Limepoppy Seed Tea,18.44
Tilapia - Fillets,24.05
"Pork - Back, Long Cut, Boneless",34.49
Numi - Assorted Teas,46.56
Banana,23.62
Tomatoes - Cherry,39.09
Cup Translucent 9 Oz,45.26
Cheese - Perron Cheddar,26.38
"Syrup - Monin, Swiss Choclate",26.88
Beans - Kidney White,34.91
"Wine - White, French Cross",11.39
Wine - Chateau Aqueria Tavel,14.92
Food Colouring - Pink,38.35
Pork - Ground,41.68
Wine - Blue Nun Qualitatswein,10.12
Chips Potato Salt Vinegar 43g,45.81
Mix - Cappucino Cocktail 2,16.63
Pears - Bosc,35.48
Truffle - Peelings,18.98
Butter - Pod,27.3
Buttons,42.64
Bread - French Baquette,10.49
Water - Green Tea Refresher,46.28
Beer - Fruli,30.1
"Cod - Salted, Boneless",29.59
Beer - Mcauslan Apricot,44.52
Tumeric,13.14
Turkey Tenderloin Frozen,35.8
Gatorade - Lemon Lime,39.52
Tarragon - Fresh,38.34