product_name,price
Truffle Cups - White Paper,32.02
"Octopus - Baby, Cleaned",12.2
Alize Gold Passion,39.89
Longos - Cheese Tortellini,23.96
Cookie Choc,15.36
Cheese - Cheddar With Claret 2,24.18
Filling - Mince Meat,13.71
Tea - Honey Green Tea,22.92
Asparagus - Frozen,45.46
Beef Flat Iron Steak,20.83
Vaccum Bag 10x13,41.58
Flour - Teff,23.03
Yams,48.71
Beer - Mill St Organic,43.87
Coffee Cup 8oz,20.4
Lettuce - Radicchio,36.05
Huck White Towels,47.09
"Wine - Sherry Dry Sack, William",36.61
Pepsi - 600ml,40.58
Bread - Italian Roll With Herbs,25.84
Chutney Sauce - Mango,38.88
"Stock - Veal, Brown",33.94
Sauce - Roasted Red Pepper,40.33
"Soda Water - Club Soda, 355 Ml",18.39
Paste - Black Olive,12.03
Nantucket - 518ml,46.09
Curry Powder Madras 2,13.23
Salt And Pepper Mix - Black 2,40.18
Wine - Sicilia Igt Nero Avola,24.37
The Pop Shoppe - Root Beer,34.92
Jerusalem Artichoke,20.74
"Salmon - Smoked, Sliced",43.22
Sauce - Thousand Island,17.42
Mcgillicuddy Vanilla Schnap,10.71
Lamb - Bones,35.56
Beets,27.11
Initation Crab Meat,36.92
Eggplant - Baby,18.3
Vinegar - Cider,33.59
Bread - Sour Batard,25.92
Whmis - Spray Bottle Trigger 2,39.38
Mountain Dew 2,22.7
Bread - English Muffin,38.04
Garlic - Peeled,39.27
Bar - Granola Trail Mix Fruit Nut,25.05
Flour - Rye,10.06
Grand Marnier,19.66
Sprouts - Pea 2,32.3
Melon - Cantaloupe 2,11.16
Dill Weed - Dry,39.54
"Lid - High Heat, Super Clear",12.6
Scampi Tail,26.5
Sauerkraut,19.15
"Mushroom - Enoki, Dry",29.45
Muffin Mix - Blueberry 2,44.02
Arrowroot,49.03
Kellogs Cereal In A Cup,43.36
Pepper - Green 2,28.25
Longos - Chicken Cordon Bleu,30.91
Chips Potato Swt Chilli Sour,37.54
Duck - Fat,28.57
"Beans - Black Bean, Dry",34.45
Lamb Tenderloin Nz Fr,37.06
Wine - Acient Coast Caberne,19.43
Dip - Tapenade,12.47
Squid Ink,18.97
Monkfish Fresh - Skin Off,27.98
Wooden Mop Handle,33.6
Wine - Kwv Chenin Blanc South,49.26
Nut - Pumpkin Seeds,43.62
"Chocolate - Milk, Callets",30.6
Coffee Beans - Chocolate 2,26.58
Chicken - Soup Base,18.02
Container - Clear 16 Oz,49.9
Dill Weed - Fresh,12.27
Juice - Apple Cider,14.37
Tobasco Sauce,41.38
Muffin Batt - Carrot Spice,19.39
Juice - Lagoon Mango,26.13
Lettuce - Romaine,31.16
Beef - Tender Tips 3,45.71
"Cheese - Mozzarella, Shredded",30.7
Coffee Beans - Chocolate,25.9
Curry Powder Madras 3,10.72
Brandy Apricot,40.52
"Pork - Sausage, Medium",45.91
Chocolate - Compound Coating 2,14.3
"Peas - Pigeon, Dry",16.33
Truffle - Whole Black Peeled,16.28
Bok Choy - Baby,26.94
Bowl 12 Oz - Showcase 92012,45.23
Transfer Sheets 2,31.28
Puff Pastry - Slab,30.74
Latex Rubber Gloves Size 9,32.09
Whmis - Spray Bottle Trigger,33.53
Wine - Zinfandel California 2002,36.5
French Kiss Vanilla,39.16
Pepper - Yellow Bell,12.4
Figs,48.22
Wine - Chateau Aqueria Tavel 2,35.11